"År","Ident","Navn","Indikator","parameter","Variabel"
"2001","1","01 Buøy","Lav utdanning, 30-39 år","(% av befolkningen)","7,534246575"
"2001","2","Badedammen","Lav utdanning, 30-39 år","(% av befolkningen)","8,759124088"
"2001","3","Sentrum","Lav utdanning, 30-39 år","(% av befolkningen)","5,831533477"
"2001","4","Storhaug","Lav utdanning, 30-39 år","(% av befolkningen)","4,166666667"
"2001","5","Nylund","Lav utdanning, 30-39 år","(% av befolkningen)","4,461942257"
"2001","6","Spilderhaug","Lav utdanning, 30-39 år","(% av befolkningen)","8,064516129"
"2001","7","Rosenli","Lav utdanning, 30-39 år","(% av befolkningen)","8,520179372"
"2001","8","Varden","Lav utdanning, 30-39 år","(% av befolkningen)","3,629032258"
"2001","9","Løkkeveien","Lav utdanning, 30-39 år","(% av befolkningen)","4,047619048"
"2001","10","Stadion","Lav utdanning, 30-39 år","(% av befolkningen)","1,382488479"
"2001","11","Gamlingen","Lav utdanning, 30-39 år","(% av befolkningen)","10,20408163"
"2001","12","Lagårdsvegen","Lav utdanning, 30-39 år","(% av befolkningen)","4,838709677"
"2001","13","Vålandstårnet","Lav utdanning, 30-39 år","(% av befolkningen)","1,923076923"
"2001","14","Strømsbrua","Lav utdanning, 30-39 år","(% av befolkningen)","5,755395683"
"2001","15","Sentralsjukehuset","Lav utdanning, 30-39 år","(% av befolkningen)","2,06185567"
"2001","16","Bekkefaret","Lav utdanning, 30-39 år","(% av befolkningen)","5,747126437"
"2001","17","Ullandhaug skole","Lav utdanning, 30-39 år","(% av befolkningen)","5,898876404"
"2001","18","Ullandhaugskråningen","Lav utdanning, 30-39 år","(% av befolkningen)","5,825242718"
"2001","19","Hillevåg","Lav utdanning, 30-39 år","(% av befolkningen)","7,865168539"
"2001","20","Bjergsted","Lav utdanning, 30-39 år","(% av befolkningen)","6,737588652"
"2001","21","Gramstadhaugen","Lav utdanning, 30-39 år","(% av befolkningen)","1,818181818"
"2001","22","Bakkeland","Lav utdanning, 30-39 år","(% av befolkningen)","5,185185185"
"2001","23","23 Tastaveden","Lav utdanning, 30-39 år","(% av befolkningen)","4,210526316"
"2001","24","Eiganes gravlund","Lav utdanning, 30-39 år","(% av befolkningen)","4,166666667"
"2001","25","Hjaltlandsgata","Lav utdanning, 30-39 år","(% av befolkningen)","3,184713376"
"2001","26","Øyane","Lav utdanning, 30-39 år","(% av befolkningen)","5,351170569"
