"År","Ident","Navn","Indikator","parameter","Variabel"
"2012","1","01 Buøy","Median inntekt etter skatt pr forbruksenhet","NOK","358400"
"2012","2","02 Badedammen","Median inntekt etter skatt pr forbruksenhet","NOK","333200"
"2012","3","03 Sentrum","Median inntekt etter skatt pr forbruksenhet","NOK","312000"
"2012","4","04 Bergeland","Median inntekt etter skatt pr forbruksenhet","NOK","326600"
"2012","5","05 Nylund","Median inntekt etter skatt pr forbruksenhet","NOK","368400"
"2012","6","06 Lervig","Median inntekt etter skatt pr forbruksenhet","NOK","337700"
"2012","7","07 Emmaus","Median inntekt etter skatt pr forbruksenhet","NOK","304400"
"2012","8","08 Varden","Median inntekt etter skatt pr forbruksenhet","NOK","386500"
"2012","9","09 Kannik","Median inntekt etter skatt pr forbruksenhet","NOK","355400"
"2012","10","10 Ledaal","Median inntekt etter skatt pr forbruksenhet","NOK","445200"
"2012","11","11 Kiellandmyrå","Median inntekt etter skatt pr forbruksenhet","NOK","372500"
"2012","12","12 Lagård","Median inntekt etter skatt pr forbruksenhet","NOK","348600"
"2012","13","13 Vålandshaugen","Median inntekt etter skatt pr forbruksenhet","NOK","411500"
"2012","14","14 Ytre Lagård","Median inntekt etter skatt pr forbruksenhet","NOK","359800"
"2012","15","15 Sentralsjukehuset","Median inntekt etter skatt pr forbruksenhet","NOK","367400"
"2012","16","16 Bekkefaret","Median inntekt etter skatt pr forbruksenhet","NOK","334000"
"2012","17","17 Saxemarka","Median inntekt etter skatt pr forbruksenhet","NOK","316000"
"2012","18","18 Ullandhaugskråningen","Median inntekt etter skatt pr forbruksenhet","NOK","355900"
"2012","19","19 Kvalaberg","Median inntekt etter skatt pr forbruksenhet","NOK","303600"
"2012","20","20 Bjergsted","Median inntekt etter skatt pr forbruksenhet","NOK","367000"
"2012","21","21 Gramstadhaugen","Median inntekt etter skatt pr forbruksenhet","NOK","375300"
"2012","22","22 Bakkeland","Median inntekt etter skatt pr forbruksenhet","NOK","353600"
"2012","23","23 Tastaveden","Median inntekt etter skatt pr forbruksenhet","NOK","383800"
"2012","24","24 Stokkadalen","Median inntekt etter skatt pr forbruksenhet","NOK","382800"
"2012","25","25 Ytre Eiganes","Median inntekt etter skatt pr forbruksenhet","NOK","411500"
"2012","26","26 Øyane","Median inntekt etter skatt pr forbruksenhet","NOK","393200"
"2012","27","27 Kråkeneset","Median inntekt etter skatt pr forbruksenhet","NOK","376200"
"2012","28","28 Skeie","Median inntekt etter skatt pr forbruksenhet","NOK","317100"
"2012","29","29 Kvitepynten","Median inntekt etter skatt pr forbruksenhet","NOK","336800"
"2012","30","30 Prestastø","Median inntekt etter skatt pr forbruksenhet","NOK","392500"
"2012","31","31 Hundvågkrossen","Median inntekt etter skatt pr forbruksenhet","NOK","360700"
"2012","32","32 Kalhag","Median inntekt etter skatt pr forbruksenhet","NOK","358300"
"2012","33","33 Hinnalia","Median inntekt etter skatt pr forbruksenhet","NOK","422800"
"2012","34","34 Storaberget","Median inntekt etter skatt pr forbruksenhet","NOK","354300"
"2012","35","35 Godeset","Median inntekt etter skatt pr forbruksenhet","NOK","406400"
"2012","36","36 Gausel","Median inntekt etter skatt pr forbruksenhet","NOK","436200"
"2012","37","37 Hinnakrossen","Median inntekt etter skatt pr forbruksenhet","NOK","345800"
"2012","38","38 Øvre Vaulen","Median inntekt etter skatt pr forbruksenhet","NOK","399600"
"2012","39","39Auglend","Median inntekt etter skatt pr forbruksenhet","NOK","385600"
"2012","40","40 Kristianslyst","Median inntekt etter skatt pr forbruksenhet","NOK","334200"
"2012","41","41 Vaulen","Median inntekt etter skatt pr forbruksenhet","NOK","418700"
"2012","42","42 Mariero","Median inntekt etter skatt pr forbruksenhet","NOK","374200"
"2012","43","43 Åsen","Median inntekt etter skatt pr forbruksenhet","NOK","341500"
"2012","44","44 Tjensvoll","Median inntekt etter skatt pr forbruksenhet","NOK","332000"
"2012","45","45 Solborg","Median inntekt etter skatt pr forbruksenhet","NOK","352800"
"2012","46","46 Øvre Tjensvoll","Median inntekt etter skatt pr forbruksenhet","NOK","354200"
"2012","47","47 Madlamark","Median inntekt etter skatt pr forbruksenhet","NOK","457600"
"2012","48","48 Jernaldergarden","Median inntekt etter skatt pr forbruksenhet","NOK","298500"
"2012","49","49 Madlalia","Median inntekt etter skatt pr forbruksenhet","NOK","447400"
"2012","50","50 Stokka","Median inntekt etter skatt pr forbruksenhet","NOK","472700"
"2012","51","51 Tastarustå","Median inntekt etter skatt pr forbruksenhet","NOK","375300"
"2012","52","52 Molkeholen","Median inntekt etter skatt pr forbruksenhet","NOK","417600"
"2012","53","53 Madlaforen","Median inntekt etter skatt pr forbruksenhet","NOK","338800"
"2012","54","54 Sandal","Median inntekt etter skatt pr forbruksenhet","NOK","440600"
"2012","55","55 Madlatuå","Median inntekt etter skatt pr forbruksenhet","NOK","412900"
"2012","56","56 Smiodden","Median inntekt etter skatt pr forbruksenhet","NOK","313400"
"2012","57","57 Mjug","Median inntekt etter skatt pr forbruksenhet","NOK","331500"
"2012","58","58 Ørnaberget","Median inntekt etter skatt pr forbruksenhet","NOK","348000"
"2012","59","59 Sundekrossen","Median inntekt etter skatt pr forbruksenhet","NOK","367800"
"2012","60","60 Malthaug","Median inntekt etter skatt pr forbruksenhet","NOK","411200"
"2012","61","61 Gjeraberget","Median inntekt etter skatt pr forbruksenhet","NOK","393500"
"2012","62","62 Byhaugen","Median inntekt etter skatt pr forbruksenhet","NOK","341300"
"2012","63","63 Vardenes","Median inntekt etter skatt pr forbruksenhet","NOK","368000"
"2012","64","64 Tastaforen","Median inntekt etter skatt pr forbruksenhet","NOK","349700"
"2012","65","65 Smiene","Median inntekt etter skatt pr forbruksenhet","NOK","371700"
"2012","66"," 66  Teinå  ","Median inntekt etter skatt pr forbruksenhet","NOK","378400"
"2012","67","67 Forusstraen","Median inntekt etter skatt pr forbruksenhet","NOK","416800"
"2012","68","68 Husaberget","Median inntekt etter skatt pr forbruksenhet","NOK","379700"
"2012","69","69 Boganes","Median inntekt etter skatt pr forbruksenhet","NOK","371400"
"2014","1","01 Buøy","Median inntekt etter skatt pr forbruksenhet","NOK","389700"
"2014","2","02 Badedammen","Median inntekt etter skatt pr forbruksenhet","NOK","355200"
"2014","3","03 Sentrum","Median inntekt etter skatt pr forbruksenhet","NOK","319100"
"2014","4","04 Bergeland","Median inntekt etter skatt pr forbruksenhet","NOK","341600"
"2014","5","05 Nylund","Median inntekt etter skatt pr forbruksenhet","NOK","395600"
"2014","6","06 Lervig","Median inntekt etter skatt pr forbruksenhet","NOK","365700"
"2014","7","07 Emmaus","Median inntekt etter skatt pr forbruksenhet","NOK","350500"
"2014","8","08 Varden","Median inntekt etter skatt pr forbruksenhet","NOK","415100"
"2014","9","09 Kannik","Median inntekt etter skatt pr forbruksenhet","NOK","372200"
"2014","10","10 Ledaal","Median inntekt etter skatt pr forbruksenhet","NOK","474600"
"2014","11","11 Kiellandmyrå","Median inntekt etter skatt pr forbruksenhet","NOK","400800"
"2014","12","12 Lagård","Median inntekt etter skatt pr forbruksenhet","NOK","369300"
"2014","13","13 Vålandshaugen","Median inntekt etter skatt pr forbruksenhet","NOK","433400"
"2014","14","14 Ytre Lagård","Median inntekt etter skatt pr forbruksenhet","NOK","401500"
"2014","15","15 Sentralsjukehuset","Median inntekt etter skatt pr forbruksenhet","NOK","392200"
"2014","16","16 Bekkefaret","Median inntekt etter skatt pr forbruksenhet","NOK","358800"
"2014","17","17 Saxemarka","Median inntekt etter skatt pr forbruksenhet","NOK","342500"
"2014","18","18 Ullandhaugskråningen","Median inntekt etter skatt pr forbruksenhet","NOK","388000"
"2014","19","19 Kvalaberg","Median inntekt etter skatt pr forbruksenhet","NOK","309700"
"2014","20","20 Bjergsted","Median inntekt etter skatt pr forbruksenhet","NOK","395500"
"2014","21","21 Gramstadhaugen","Median inntekt etter skatt pr forbruksenhet","NOK","392900"
"2014","22","22 Bakkeland","Median inntekt etter skatt pr forbruksenhet","NOK","376600"
"2014","23","23 Tastaveden","Median inntekt etter skatt pr forbruksenhet","NOK","409200"
"2014","24","24 Stokkadalen","Median inntekt etter skatt pr forbruksenhet","NOK","433900"
"2014","25","25 Ytre Eiganes","Median inntekt etter skatt pr forbruksenhet","NOK","429800"
"2014","26","26 Øyane","Median inntekt etter skatt pr forbruksenhet","NOK","431000"
"2014","27","27 Kråkeneset","Median inntekt etter skatt pr forbruksenhet","NOK","426800"
"2014","28","28 Skeie","Median inntekt etter skatt pr forbruksenhet","NOK","346900"
"2014","29","29 Kvitepynten","Median inntekt etter skatt pr forbruksenhet","NOK","365500"
"2014","30","30 Prestastø","Median inntekt etter skatt pr forbruksenhet","NOK","430000"
"2014","31","31 Hundvågkrossen","Median inntekt etter skatt pr forbruksenhet","NOK","376600"
"2014","32","32 Kalhag","Median inntekt etter skatt pr forbruksenhet","NOK","403700"
"2014","33","33 Hinnalia","Median inntekt etter skatt pr forbruksenhet","NOK","461000"
"2014","34","34 Storaberget","Median inntekt etter skatt pr forbruksenhet","NOK","386600"
"2014","35","35 Godeset","Median inntekt etter skatt pr forbruksenhet","NOK","427000"
"2014","36","36 Gausel","Median inntekt etter skatt pr forbruksenhet","NOK","492100"
"2014","37","37 Hinnakrossen","Median inntekt etter skatt pr forbruksenhet","NOK","374700"
"2014","38","38 Øvre Vaulen","Median inntekt etter skatt pr forbruksenhet","NOK","423400"
"2014","39","39Auglend","Median inntekt etter skatt pr forbruksenhet","NOK","420600"
"2014","40","40 Kristianslyst","Median inntekt etter skatt pr forbruksenhet","NOK","364500"
"2014","41","41 Vaulen","Median inntekt etter skatt pr forbruksenhet","NOK","454800"
"2014","42","42 Mariero","Median inntekt etter skatt pr forbruksenhet","NOK","396800"
"2014","43","43 Åsen","Median inntekt etter skatt pr forbruksenhet","NOK","368900"
"2014","44","44 Tjensvoll","Median inntekt etter skatt pr forbruksenhet","NOK","357300"
"2014","45","45 Solborg","Median inntekt etter skatt pr forbruksenhet","NOK","376000"
"2014","46","46 Øvre Tjensvoll","Median inntekt etter skatt pr forbruksenhet","NOK","378400"
"2014","47","47 Madlamark","Median inntekt etter skatt pr forbruksenhet","NOK","495000"
"2014","48","48 Jernaldergarden","Median inntekt etter skatt pr forbruksenhet","NOK","321900"
"2014","49","49 Madlalia","Median inntekt etter skatt pr forbruksenhet","NOK","482600"
"2014","50","50 Stokka","Median inntekt etter skatt pr forbruksenhet","NOK","520900"
"2014","51","51 Tastarustå","Median inntekt etter skatt pr forbruksenhet","NOK","398900"
"2014","52","52 Molkeholen","Median inntekt etter skatt pr forbruksenhet","NOK","448000"
"2014","53","53 Madlaforen","Median inntekt etter skatt pr forbruksenhet","NOK","368900"
"2014","54","54 Sandal","Median inntekt etter skatt pr forbruksenhet","NOK","477000"
"2014","55","55 Madlatuå","Median inntekt etter skatt pr forbruksenhet","NOK","453700"
"2014","56","56 Smiodden","Median inntekt etter skatt pr forbruksenhet","NOK","329900"
"2014","57","57 Mjug","Median inntekt etter skatt pr forbruksenhet","NOK","349100"
"2014","58","58 Ørnaberget","Median inntekt etter skatt pr forbruksenhet","NOK","377500"
"2014","59","59 Sundekrossen","Median inntekt etter skatt pr forbruksenhet","NOK","400300"
"2014","60","60 Malthaug","Median inntekt etter skatt pr forbruksenhet","NOK","448900"
"2014","61","61 Gjeraberget","Median inntekt etter skatt pr forbruksenhet","NOK","423600"
"2014","62","62 Byhaugen","Median inntekt etter skatt pr forbruksenhet","NOK","369800"
"2014","63","63 Vardenes","Median inntekt etter skatt pr forbruksenhet","NOK","400700"
"2014","64","64 Tastaforen","Median inntekt etter skatt pr forbruksenhet","NOK","381500"
"2014","65","65 Smiene","Median inntekt etter skatt pr forbruksenhet","NOK","408700"
"2014","66"," 66  Teinå  ","Median inntekt etter skatt pr forbruksenhet","NOK","415000"
"2014","67","67 Forusstraen","Median inntekt etter skatt pr forbruksenhet","NOK","446300"
"2014","68","68 Husaberget","Median inntekt etter skatt pr forbruksenhet","NOK","405500"
"2014","69","69 Boganes","Median inntekt etter skatt pr forbruksenhet","NOK","411300"
"2014","70","70 Søra Bråde","Median inntekt etter skatt pr forbruksenhet","NOK","391200"
"2014","99","99 Uoppgitt","Median inntekt etter skatt pr forbruksenhet","NOK","379500"
"2016","1","01 Buøy","Median inntekt etter skatt pr forbruksenhet","NOK","379600"
"2016","2","02 Badedammen","Median inntekt etter skatt pr forbruksenhet","NOK","332700"
"2016","3","03 Sentrum","Median inntekt etter skatt pr forbruksenhet","NOK","310900"
"2016","4","04 Bergeland","Median inntekt etter skatt pr forbruksenhet","NOK","336100"
"2016","5","05 Nylund","Median inntekt etter skatt pr forbruksenhet","NOK","397600"
"2016","6","06 Lervig","Median inntekt etter skatt pr forbruksenhet","NOK","373000"
"2016","7","07 Emmaus","Median inntekt etter skatt pr forbruksenhet","NOK","364000"
"2016","8","08 Varden","Median inntekt etter skatt pr forbruksenhet","NOK","409200"
"2016","9","09 Kannik","Median inntekt etter skatt pr forbruksenhet","NOK","355000"
"2016","10","10 Ledaal","Median inntekt etter skatt pr forbruksenhet","NOK","457000"
"2016","11","11 Kiellandmyrå","Median inntekt etter skatt pr forbruksenhet","NOK","398100"
"2016","12","12 Lagård","Median inntekt etter skatt pr forbruksenhet","NOK","354800"
"2016","13","13 Vålandshaugen","Median inntekt etter skatt pr forbruksenhet","NOK","453700"
"2016","14","14 Ytre Lagård","Median inntekt etter skatt pr forbruksenhet","NOK","379100"
"2016","15","15 Sentralsjukehuset","Median inntekt etter skatt pr forbruksenhet","NOK","393300"
"2016","16","16 Bekkefaret","Median inntekt etter skatt pr forbruksenhet","NOK","355600"
"2016","17","17 Saxemarka","Median inntekt etter skatt pr forbruksenhet","NOK","344600"
"2016","18","18 Ullandhaugskråningen","Median inntekt etter skatt pr forbruksenhet","NOK","395100"
"2016","19","19 Kvalaberg","Median inntekt etter skatt pr forbruksenhet","NOK","307200"
"2016","20","20 Bjergsted","Median inntekt etter skatt pr forbruksenhet","NOK","356700"
"2016","21","21 Gramstadhaugen","Median inntekt etter skatt pr forbruksenhet","NOK","391800"
"2016","22","22 Bakkeland","Median inntekt etter skatt pr forbruksenhet","NOK","372700"
"2016","23","23 Tastaveden","Median inntekt etter skatt pr forbruksenhet","NOK","410400"
"2016","24","24 Stokkadalen","Median inntekt etter skatt pr forbruksenhet","NOK","413200"
"2016","25","25 Ytre Eiganes","Median inntekt etter skatt pr forbruksenhet","NOK","442700"
"2016","26","26 Øyane","Median inntekt etter skatt pr forbruksenhet","NOK","415600"
"2016","27","27 Kråkeneset","Median inntekt etter skatt pr forbruksenhet","NOK","408300"
"2016","28","28 Skeie","Median inntekt etter skatt pr forbruksenhet","NOK","327100"
"2016","29","29 Kvitepynten","Median inntekt etter skatt pr forbruksenhet","NOK","361100"
"2016","30","30 Prestastø","Median inntekt etter skatt pr forbruksenhet","NOK","423600"
"2016","31","31 Hundvågkrossen","Median inntekt etter skatt pr forbruksenhet","NOK","383400"
"2016","32","32 Kalhag","Median inntekt etter skatt pr forbruksenhet","NOK","397800"
"2016","33","33 Hinnalia","Median inntekt etter skatt pr forbruksenhet","NOK","432700"
"2016","34","34 Storaberget","Median inntekt etter skatt pr forbruksenhet","NOK","378000"
"2016","35","35 Godeset","Median inntekt etter skatt pr forbruksenhet","NOK","430500"
"2016","36","36 Gausel","Median inntekt etter skatt pr forbruksenhet","NOK","470200"
"2016","37","37 Hinnakrossen","Median inntekt etter skatt pr forbruksenhet","NOK","369600"
"2016","38","38 Øvre Vaulen","Median inntekt etter skatt pr forbruksenhet","NOK","430000"
