"År","Ident","Navn","Indikator","parameter","Variabel"
"2012","1","01 Buøy","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,55"
"2012","2","02 Badedammen","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,75"
"2012","3","03 Sentrum","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,38"
"2012","4","04 Bergeland","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,68"
"2012","5","05 Nylund","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,53"
"2012","6","06 Lervig","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,56"
"2012","7","07 Emmaus","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","0,84"
"2012","8","08 Varden","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,14"
"2012","9","09 Kannik","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,01"
"2012","10","10 Ledaal","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","0,72"
"2012","11","11 Kiellandmyrå","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,09"
"2012","12","12 Lagård","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,23"
"2012","13","13 Vålandshaugen","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","0,65"
"2012","14","14 Ytre Lagård","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,15"
"2012","15","15 Sentralsjukehuset","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","0,72"
"2012","16","16 Bekkefaret","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","0,48"
"2012","17","17 Saxemarka","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,14"
"2012","18","18 Ullandhaugskråningen","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","0,76"
"2012","19","19 Kvalaberg","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","2,35"
"2012","20","20 Bjergsted","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,55"
"2012","21","21 Gramstadhaugen","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,1"
"2012","22","22 Bakkeland","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","0,94"
"2012","23","23 Tastaveden","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","0,89"
"2012","24","24 Stokkadalen","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","1,51"
"2012","25","25 Ytre Eiganes","Registrert arbeidsledighet, 15-74 år","(% av befolkningen)","0,77"
